CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,PRIM_CONTRIBUTORY_CAUSE,NUM_UNITS,CRASH_MONTH,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE
01/27/2024 02:03:00 PM,30,UNKNOWN,DAYLIGHT,REAR END,NOT DIVIDED,WET,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,4,1,NONINCAPACITATING INJURY,2,0,14,7,41.6630817456,-87.6450214087
06/15/2021 12:40:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,6,NO INDICATION OF INJURY,0,0,12,3,41.799434259,-87.5890462553
02/27/2023 11:45:00 PM,45,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,2,NO INDICATION OF INJURY,0,0,23,2,41.825882585,-87.6009718542
02/11/2026 04:30:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,2,NO INDICATION OF INJURY,0,0,16,4,41.9655835158,-87.6546434328
03/21/2021 07:10:00 AM,30,CLEAR,DAWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,3,3,NO INDICATION OF INJURY,0,0,7,1,41.8908177097,-87.7553014878
12/19/2024 08:40:00 AM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,12,NO INDICATION OF INJURY,0,0,8,5,41.985638421,-87.6550943233
12/01/2023 06:30:00 PM,20,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,WET,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,12,NO INDICATION OF INJURY,0,0,18,6,41.8967512335,-87.7506006739
03/06/2026 04:50:00 PM,30,CLOUDY/OVERCAST,DAYLIGHT,REAR END,NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,FOLLOWING TOO CLOSELY,2,3,NO INDICATION OF INJURY,0,0,16,6,41.9980192582,-87.6770194601
10/28/2021 07:50:00 PM,35,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO INJURY / DRIVE AWAY,IMPROPER OVERTAKING/PASSING,2,10,NO INDICATION OF INJURY,0,0,19,5,41.7502622404,-87.6635801171
12/27/2025 04:00:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,12,NO INDICATION OF INJURY,0,0,16,7,41.7027300627,-87.6576770192
06/10/2021 12:30:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,3,6,NO INDICATION OF INJURY,0,0,0,5,41.9605864506,-87.7108259696
05/31/2022 09:35:00 AM,30,OTHER,DAYLIGHT,ANIMAL,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,ANIMAL,1,5,NO INDICATION OF INJURY,0,0,9,3,41.9954120841,-87.8069650269
12/01/2023 07:50:00 AM,30,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,FOLLOWING TOO CLOSELY,2,12,NO INDICATION OF INJURY,0,0,7,6,41.8136255953,-87.7052335298
04/24/2025 12:25:00 PM,30,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,4,NO INDICATION OF INJURY,0,0,12,5,41.8157784269,-87.6652928904
10/07/2021 05:29:00 PM,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,FAILING TO REDUCE SPEED TO AVOID CRASH,2,10,NO INDICATION OF INJURY,0,0,17,5,41.7656213127,-87.6141131243
12/26/2025 03:00:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,12,NO INDICATION OF INJURY,0,0,15,6,41.8729605241,-87.7627387544
10/21/2024 05:17:00 PM,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,10,NO INDICATION OF INJURY,0,0,17,2,41.9060654738,-87.7264925453
09/26/2022 09:00:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,9,NO INDICATION OF INJURY,0,0,9,2,41.8748519452,-87.689643227
11/05/2023 09:42:00 PM,25,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,2,11,"REPORTED, NOT EVIDENT",1,0,21,1,41.902571622,-87.7253248865
07/06/2025 04:20:00 PM,15,CLEAR,DAYLIGHT,REAR TO REAR,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,7,NO INDICATION OF INJURY,0,0,16,1,41.7398967056,-87.6320890652
06/29/2025 01:00:00 AM,35,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,IMPROPER LANE USAGE,2,6,NO INDICATION OF INJURY,0,0,1,1,41.7222349604,-87.5846114695
04/22/2021 12:00:00 PM,25,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,4,NO INDICATION OF INJURY,0,0,12,5,41.895464404,-87.6820877304
02/14/2025 04:30:00 PM,30,CLOUDY/OVERCAST,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,NOT APPLICABLE,2,2,NO INDICATION OF INJURY,0,0,16,6,41.7934219583,-87.7158746517
09/09/2023 01:30:00 PM,15,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,DRY,NO INJURY / DRIVE AWAY,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",2,9,NO INDICATION OF INJURY,0,0,13,7,41.6861493232,-87.6897216977
01/27/2024 04:25:00 AM,30,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO INJURY / DRIVE AWAY,IMPROPER BACKING,2,1,NO INDICATION OF INJURY,0,0,4,7,41.7657701829,-87.7417852351
04/09/2025 03:30:00 PM,30,CLEAR,DAYLIGHT,REAR END,FOUR WAY,WET,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,4,NO INDICATION OF INJURY,0,0,15,4,41.7506862056,-87.633459774
10/06/2022 03:27:00 PM,35,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,2,10,NO INDICATION OF INJURY,0,0,15,5,41.7735490466,-87.6931024513
03/26/2026 09:05:00 PM,30,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,WET,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,3,NO INDICATION OF INJURY,0,0,21,5,41.9724777682,-87.6696861169
10/08/2021 01:00:00 AM,30,CLEAR,DAWN,PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,10,NO INDICATION OF INJURY,0,0,1,6,42.0015642568,-87.6735806501
04/23/2026 06:00:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,4,NO INDICATION OF INJURY,0,0,18,5,41.6928863824,-87.6093598118
02/02/2026 05:15:00 PM,15,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,WET,NO INJURY / DRIVE AWAY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,2,NO INDICATION OF INJURY,0,0,17,2,41.7878356312,-87.7412765596
04/30/2026 07:45:00 AM,35,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,DRY,INJURY AND / OR TOW DUE TO CRASH,FAILING TO YIELD RIGHT-OF-WAY,2,4,"REPORTED, NOT EVIDENT",1,0,7,5,41.8866808326,-87.6295658911
09/29/2021 08:15:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,9,NO INDICATION OF INJURY,0,0,20,4,41.7592577374,-87.5856021373
